labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
G1,-47.142857,51.142857,21.142857,G,-39.833122,34.842125,34.76899,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G2,-49.333333,42,29.333333,G,-42.966759,25.286448,39.001804,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G3,-51,34,34,G,-43.169922,16.176136,42.520809,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G4,-53,25,41.333333,G,-44.543148,6.422518,46.169506,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G5,-52.666667,13.333333,47,G,-43.390411,-3.604828,49.470192,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G6,-54,4,53,G,-44.20816,-12.82576,52.941288,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G7,-50.8,-5.2,58.4,G,-41.943398,-22.35111,55.824741,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G8,-49,-14,65,G,-41.517406,-31.784788,59.157543,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G9,-54,45.333333,13.333333,G,-45.798828,31.708389,27.248474,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G10,-57,37,19,G,-47.275921,22.671247,30.699219,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
G11,-59.6,27.2,27.2,G,-48.604687,12.972079,34.522991,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN
G12,-61.333333,18.666667,34,G,-50.231991,3.423919,38.446987,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G13,-61,10,38,G,-52.684742,-5.839459,41.710163,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G14,-61,0,44,G,-52.691589,-15.967329,45.537296,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G15,-60,-10,50,G,-50.075588,-25.424564,48.616486,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G16,-58,-20,55,G,-50.688293,-35.337975,52.237453,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G17,-60,41,4,G,-49.454147,28.259796,18.01741,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN
G18,-63.5,31,9.5,G,-51.075687,18.776173,21.690901,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN
G19,-65.5,21,17,G,-52.341595,9.142774,25.976168,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN
