labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
G20,-66,12,23,G,-55.417904,-0.385189,29.90037,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G21,-67.5,3,29.5,G,-56.576893,-9.577875,33.302273,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G22,-67,-7,34,G,-57.546646,-19.39115,36.809322,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G23,-66.5,-14.5,39.5,G,-57.452679,-28.863888,40.70015,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G24,-66,-24,47,G,-57.175579,-38.237373,44.215645,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G26,-63.333333,24,0.666667,G,-51.045113,14.220972,12.558793,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN
G27,-66,16,8,G,-53.781109,5.202075,17.164778,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN
G28,-69.2,6.8,14.4,G,-57.391651,-4.096041,21.03227,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN
G29,-70,-2,19,G,-59.264538,-13.708865,24.402063,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G30,-70,-12,25,G,-60.981289,-23.284988,28.482656,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G31,-69,-20,30,G,-61.56176,-32.073277,31.815647,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN
G32,-68,-29,37,G,-60.806091,-42.153225,35.722652,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN
G34,-62,18,-8,G,-51.159721,9.851567,3.848001,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN
G35,-67.2,9.2,-3.6,G,-56.429726,0.938472,7.994711,G,65.50%,mSTG,34.50%,rSTG,NaN,NaN,NaN,NaN
G36,-70,0.666667,4.666667,G,-58.379295,-8.452927,11.266356,G,70.33%,precentral,29.67%,postcentral,NaN,NaN,NaN,NaN
G37,-71.333333,-8,11.333333,G,-61.207394,-17.329319,15.899741,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G38,-71,-17,17,G,-61.814816,-27.28644,19.23461,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN
G39,-70.8,-25.6,22.8,G,-62.495842,-36.019714,23.008774,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN
G40,-70,-33.333333,28.666667,G,-61.214546,-45.754608,26.949678,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN
G41,-57.5,20.5,-23,G,-50.111286,14.447083,-8.918773,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN
G42,-62.666667,12.666667,-16,G,-55.342083,5.885093,-4.991927,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN
G43,-67.5,2.5,-13,G,-59.273041,-3.001151,-1.375225,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN
G44,-70.666667,-5,-4.666667,G,-61.008949,-12.694426,2.57285,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN
G45,-71.2,-13.6,1.2,G,-62.552326,-21.116186,6.893965,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN
G46,-71.333333,-22,5.333333,G,-62.784302,-30.903568,9.972728,G,72.23%,mSTG,27.77%,cSTG,NaN,NaN,NaN,NaN
G47,-71,-31,14,G,-62.936245,-40.960022,14.116187,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN
G48,-70,-39.333333,19.333333,G,-61.232616,-49.905651,17.970844,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN
G49,-58,15,-33,G,-51.827339,10.731532,-17.725061,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN
G50,-64,7.333333,-25.333333,G,-56.767487,2.163886,-13.76187,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN
G51,-69,-2.666667,-20.666667,G,-61.179253,-7.175086,-9.728711,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN
G52,-72.5,-11.5,-14.5,G,-64.001823,-16.330837,-6.300189,G,77.59%,mMTG,22.41%,rMTG,NaN,NaN,NaN,NaN
G53,-72.5,-21,-9.5,G,-63.875267,-25.660412,-2.313883,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G54,-72.5,-29,-2.5,G,-63.63068,-35.118935,1.263528,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G55,-72,-38,5,G,-63.525036,-44.97628,5.011314,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN
G56,-69,-47,11,G,-61.825005,-54.031437,9.183781,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN
G57,-54.666667,8,-42.666667,G,-48.493397,5.546407,-26.119452,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN
G58,-60.4,0.8,-35.2,G,-54.303802,-2.948298,-22.545546,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN
G59,-66,-9,-29,G,-59.302135,-11.396316,-18.422056,G,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN
G60,-70.5,-17.5,-22.5,G,-62.927177,-20.046131,-14.566945,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G61,-72,-28,-18,G,-62.744701,-30.259604,-11.278448,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G62,-72,-36,-11,G,-63.576054,-39.031475,-6.991813,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G63,-71.2,-44.8,-5.6,G,-63.278431,-48.659412,-3.939285,G,64.45%,cMTG,35.55%,mMTG,NaN,NaN,NaN,NaN
G64,-68,-52,1,G,-61.313637,-57.599163,0.219834,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN
IF1,-3,29.333333,-27.333333,S,-2.346257,23.240904,-14.081722,S,100.00%,medialorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN
IF2,-13.6,28.8,-29.2,S,-12.252914,23.305553,-15.399255,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN
IF3,-25.333333,32,-28.666667,S,-22.5207,25.423149,-11.465465,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN
IF4,-36.4,32.8,-24.8,S,-31.016405,26.178238,-6.499321,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN
AT1,-29.333333,22,-42.666667,S,-27.558397,18.100618,-25.674784,S,100.00%,temporalpole,NaN,NaN,NaN,NaN,NaN,NaN
AT2,-19.142857,14.857143,-38.857143,S,-19.399601,10.292797,-24.899755,S,100.00%,temporalpole,NaN,NaN,NaN,NaN,NaN,NaN
AT3,-19,6,-33,S,-17.954683,1.075897,-20.121664,S,100.00%,entorhinal,NaN,NaN,NaN,NaN,NaN,NaN
AT4,-18,-2.666667,-29,S,-14.244642,-7.421534,-17.706705,S,56.59%,entorhinal,NaN,NaN,NaN,NaN,NaN,NaN
LT1,-18.8,-4.4,-35.2,S,-16.957533,-7.741266,-22.182634,S,100.00%,entorhinal,NaN,NaN,NaN,NaN,NaN,NaN
LT2,-26.857143,-6.857143,-41.142857,S,-24.047394,-9.029685,-28.911243,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN
LT3,-36,-5.333333,-48.666667,S,-33.166145,-6.686127,-35.074852,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN
LT4,-47,-2,-47,S,-43.112091,-2.971599,-32.267021,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN
PO1,-24,-102,3,S,-23.845554,-102.494064,-6.710225,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN
PO2,-34.8,-97.2,0.4,S,-32.593258,-97.51973,-7.73142,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN
PO3,-44,-89,-3,S,-40.441132,-90.372414,-8.056089,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN
PO4,-51,-79.333333,-3.333333,S,-47.467182,-81.578232,-7.714509,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN
PO5,-56.666667,-70,-4.666667,S,-51.803158,-72.533928,-7.524501,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN
PO6,-64,-59.333333,-6.666667,S,-57.051594,-62.405842,-7.927039,S,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN
PO7,-68.8,-51.2,-8.4,S,-61.490479,-54.03207,-7.40301,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN
PO8,-71,-40,-11,S,-63.643826,-43.940941,-7.071399,S,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
AF1,-12,46,55,S,-8.176992,23.004635,62.610516,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN
AF2,-21.2,43.2,55.6,S,-16.881296,21.548698,61.179813,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN
AF3,-31.142857,40.857143,49.142857,S,-25.284748,21.060211,56.660156,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN
AF4,-40,38,45,S,-32.853996,18.048788,51.504852,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
AF5,-50,34,36,S,-41.234997,16.314569,44.99691,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN
AF6,-57.5,27,31,S,-47.452866,11.930296,37.644547,S,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN
DAMT1,-18,-44,-7,D,-17,-49,-6,D,33.33%,Left-Cerebral-White-Matter,66.67%,ctx-lh-lingual,NaN,NaN,NaN,NaN
DAMT2,-20.8,-41.2,-9.6,D,-20.142857,-45.142857,-6.142857,D,3.70%,Unknown,29.63%,ctx-lh-fusiform,59.26%,ctx-lh-lingual,7.41%,ctx-lh-parahippocampal
DAMT3,-25,-37,-11,D,-23.285714,-41.285714,-6.285714,D,14.81%,Unknown,18.52%,ctx-lh-fusiform,66.67%,ctx-lh-parahippocampal,NaN,NaN
DAMT4,-28.666667,-32.666667,-11.666667,D,-26.428571,-37.428571,-6.428571,D,66.67%,Left-Cerebral-White-Matter,7.41%,Left-Hippocampus,25.93%,ctx-lh-parahippocampal,NaN,NaN
DAMT5,-32,-28,-13,D,-29.571429,-33.571429,-6.571429,D,11.11%,Left-Cerebral-White-Matter,88.89%,Left-Hippocampus,NaN,NaN,NaN,NaN
DAMT6,-36,-23,-13,D,-32.714286,-29.714286,-6.714286,D,100.00%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN,NaN
DAMT7,-39,-18.666667,-14.666667,D,-35.857143,-25.857143,-6.857143,D,37.04%,Left-Cerebral-White-Matter,62.96%,Left-Hippocampus,NaN,NaN,NaN,NaN
DAMT8,-45,-14.666667,-15.333333,D,-39,-22,-7,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
DPMT1,-14.285714,-14.857143,-16.857143,D,-12,-21,-9,D,100.00%,Left-VentralDC,NaN,NaN,NaN,NaN,NaN,NaN
DPMT2,-18.666667,-12.666667,-18,D,-16.428571,-18.571429,-9.285714,D,3.70%,Unknown,66.67%,Left-Hippocampus,29.63%,Left-VentralDC,NaN,NaN
DPMT3,-24,-10,-18,D,-20.857143,-16.142857,-9.571429,D,100.00%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN,NaN
DPMT4,-29,-7,-18,D,-25.285714,-13.714286,-9.857143,D,7.41%,Left-Inf-Lat-Vent,92.59%,Left-Hippocampus,NaN,NaN,NaN,NaN
DPMT5,-33,-5.333333,-20.666667,D,-29.714286,-11.285714,-10.142857,D,88.89%,Left-Hippocampus,11.11%,Left-Amygdala,NaN,NaN,NaN,NaN
DPMT6,-39,-1,-21,D,-34.142857,-8.857143,-10.428571,D,14.81%,Unknown,85.19%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN
DPMT7,-43.111111,1.777778,-20.222222,D,-38.571429,-6.428571,-10.714286,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
DPMT8,-49,5,-21,D,-43,-4,-11,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
DAI1,-31,3,-1,D,-25,-6,8,D,100.00%,Left-Putamen,NaN,NaN,NaN,NaN,NaN,NaN
DAI2,-37,4,0,D,-30,-4.666667,9,D,22.22%,Left-Cerebral-White-Matter,77.78%,Left-Putamen,NaN,NaN,NaN,NaN
DAI3,-43.6,4.8,0.8,D,-35,-3.333333,10,D,66.67%,Left-Cerebral-White-Matter,33.33%,ctx-lh-insula,NaN,NaN,NaN,NaN
DAI4,-50,7,1,D,-40,-2,11,D,29.63%,Unknown,7.41%,ctx-lh-parsopercularis,33.33%,ctx-lh-precentral,29.63%,ctx-lh-insula
DPI1,-29.333333,-20,8.666667,D,-24,-30,11,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
DPI2,-33.333333,-16,6.666667,D,-27.666667,-26.666667,10,D,44.44%,Left-Cerebral-White-Matter,55.56%,Left-Putamen,NaN,NaN,NaN,NaN
DPI3,-38,-12.666667,4.666667,D,-31.333333,-23.333333,9,D,48.15%,Left-Cerebral-White-Matter,51.85%,ctx-lh-insula,NaN,NaN,NaN,NaN
DPI4,-42,-9,2,D,-35,-20,8,D,48.15%,Left-Cerebral-White-Matter,51.85%,ctx-lh-insula,NaN,NaN,NaN,NaN
ECGL,,,,,,,,,,,,,,,,
ECGR,,,,,,,,,,,,,,,,
